,F1,FN,FP,File,Method,Precision,Recall,TN,TP
21,0.5,10,0,TS12.csv,mean_plus_standev,1.0,0.333,1665,5
22,0.452,8,9,TS12.csv,kmeans,0.438,0.467,1656,7
34,0.444,0,5,TS13.csv,max_voting,0.286,1.0,1673,2
31,1.0,0,0,TS13.csv,moving_avg_rolling_std,1.0,1.0,1678,2
32,0.105,1,16,TS13.csv,isolation_forest,0.059,0.5,1662,1
30,0.667,1,0,TS13.csv,moving_avg,1.0,0.5,1678,1
29,0.111,1,15,TS13.csv,kmeans,0.062,0.5,1663,1
28,0.667,1,0,TS13.csv,mean_plus_standev,1.0,0.5,1678,1
33,0.211,0,15,TS13.csv,one_class_svm,0.118,1.0,1663,2
4,1.0,0,0,TS13.csv,twitter_anomaly_detector,1.0,1.0,1678,2
5,0.9976090854751941,8,0,TS14.csv,twitter_anomaly_detector,1.0,0.9952295766249258,1669,3
39,0.286,7,13,TS14.csv,isolation_forest,0.235,0.364,1656,4
40,0.5,4,10,TS14.csv,one_class_svm,0.412,0.636,1659,7
38,0.706,5,0,TS14.csv,moving_avg_rolling_std,1.0,0.545,1669,6
36,0.296,7,12,TS14.csv,kmeans,0.25,0.364,1657,4
35,0.429,8,0,TS14.csv,mean_plus_standev,1.0,0.273,1669,3
41,0.778,4,0,TS14.csv,max_voting,1.0,0.636,1669,7
37,0.0,11,0,TS14.csv,moving_avg,0.0,0.0,1669,0
42,0.4,3,0,TS15.csv,mean_plus_standev,1.0,0.25,1676,1
43,0.1,3,15,TS15.csv,kmeans,0.062,0.25,1661,1
44,0.4,3,0,TS15.csv,moving_avg,1.0,0.25,1676,1
45,0.5,1,5,TS15.csv,moving_avg_rolling_std,0.375,0.75,1671,3
46,0.286,1,14,TS15.csv,isolation_forest,0.176,0.75,1662,3
47,0.381,0,13,TS15.csv,one_class_svm,0.235,1.0,1663,4
48,0.353,1,10,TS15.csv,max_voting,0.231,0.75,1666,3
6,1.0,0,0,TS15.csv,twitter_anomaly_detector,1.0,1.0,1676,4
7,0.9994029850746271,2,0,TS16.csv,twitter_anomaly_detector,1.0,0.9988066825775659,1674,4
50,0.182,4,14,TS16.csv,kmeans,0.125,0.333,1660,2
49,0.5,4,0,TS16.csv,mean_plus_standev,1.0,0.333,1674,2
51,0.286,5,0,TS16.csv,moving_avg,1.0,0.167,1674,1
52,0.909,1,0,TS16.csv,moving_avg_rolling_std,1.0,0.833,1674,5
53,0.174,4,15,TS16.csv,isolation_forest,0.118,0.333,1659,2
54,0.435,1,12,TS16.csv,one_class_svm,0.294,0.833,1662,5
55,0.769,1,2,TS16.csv,max_voting,0.714,0.833,1672,5
58,0.4,6,0,TS17.csv,moving_avg,1.0,0.25,1672,2
8,0.998805256869773,4,0,TS17.csv,twitter_anomaly_detector,1.0,0.9976133651551309,1672,4
56,0.769,3,0,TS17.csv,mean_plus_standev,1.0,0.625,1672,5
57,0.167,6,14,TS17.csv,kmeans,0.125,0.25,1658,2
62,0.522,2,9,TS17.csv,max_voting,0.4,0.75,1663,6
61,0.48,2,11,TS17.csv,one_class_svm,0.353,0.75,1661,6
60,0.48,2,11,TS17.csv,isolation_forest,0.353,0.75,1661,6
59,0.75,2,2,TS17.csv,moving_avg_rolling_std,0.75,0.75,1670,6
68,0.645,4,7,TS18.csv,one_class_svm,0.588,0.714,1659,10
65,0.133,13,0,TS18.csv,moving_avg,1.0,0.071,1666,1
64,0.333,9,11,TS18.csv,kmeans,0.312,0.357,1655,5
63,0.133,13,0,TS18.csv,mean_plus_standev,1.0,0.071,1666,1
67,0.452,7,10,TS18.csv,isolation_forest,0.412,0.5,1656,7
66,0.581,5,8,TS18.csv,moving_avg_rolling_std,0.529,0.643,1658,9
69,0.72,5,2,TS18.csv,max_voting,0.818,0.643,1664,9
9,1.0,0,0,TS18.csv,twitter_anomaly_detector,1.0,1.0,1666,14
76,0.476,3,8,TS19.csv,max_voting,0.385,0.625,1664,5
75,0.64,0,9,TS19.csv,one_class_svm,0.471,1.0,1663,8
74,0.4,3,12,TS19.csv,isolation_forest,0.294,0.625,1660,5
73,0.385,3,13,TS19.csv,moving_avg_rolling_std,0.278,0.625,1659,5
72,0.4,6,0,TS19.csv,moving_avg,1.0,0.25,1672,2
71,0.25,5,13,TS19.csv,kmeans,0.188,0.375,1659,3
70,0.545,5,0,TS19.csv,mean_plus_standev,1.0,0.375,1672,3
10,0.998805256869773,4,0,TS19.csv,twitter_anomaly_detector,1.0,0.9976133651551309,1672,4
82,0.593,2,9,TS2.csv,one_class_svm,0.471,0.8,1661,8
83,0.632,4,3,TS2.csv,max_voting,0.667,0.6,1667,6
81,0.37,5,12,TS2.csv,isolation_forest,0.294,0.5,1658,5
80,0.455,5,7,TS2.csv,moving_avg_rolling_std,0.417,0.5,1663,5
79,0.667,5,0,TS2.csv,moving_avg,1.0,0.5,1670,5
78,0.154,8,14,TS2.csv,kmeans,0.125,0.2,1656,2
11,0.9988038277511959,4,0,TS2.csv,twitter_anomaly_detector,1.0,0.9976105137395459,1670,6
77,0.571,6,0,TS2.csv,mean_plus_standev,1.0,0.4,1670,4
12,1.0,0,0,TS20.csv,twitter_anomaly_detector,1.0,1.0,1677,3
86,0.5,2,0,TS20.csv,moving_avg,1.0,0.333,1677,1
90,0.545,0,5,TS20.csv,max_voting,0.375,1.0,1672,3
89,0.3,0,14,TS20.csv,one_class_svm,0.176,1.0,1663,3
88,0.3,0,14,TS20.csv,isolation_forest,0.176,1.0,1663,3
87,0.5,1,3,TS20.csv,moving_avg_rolling_std,0.4,0.667,1674,2
85,0.105,2,15,TS20.csv,kmeans,0.062,0.333,1662,1
84,0.8,1,0,TS20.csv,mean_plus_standev,1.0,0.667,1677,2
91,0.0,4,0,TS21.csv,mean_plus_standev,0.0,0.0,1676,0
93,0.0,4,0,TS21.csv,moving_avg,0.0,0.0,1676,0
94,0.667,2,0,TS21.csv,moving_avg_rolling_std,1.0,0.5,1676,2
95,0.19,2,15,TS21.csv,isolation_forest,0.118,0.5,1661,2
96,0.381,0,13,TS21.csv,one_class_svm,0.235,1.0,1663,4
13,0.9994036970781159,2,0,TS21.csv,twitter_anomaly_detector,1.0,0.99880810488677,1676,2
97,0.429,1,7,TS21.csv,max_voting,0.3,0.75,1669,3
92,0.1,3,15,TS21.csv,kmeans,0.062,0.25,1661,1
14,1.0,0,0,TS22.csv,twitter_anomaly_detector,1.0,1.0,1670,10
98,0.571,6,0,TS22.csv,mean_plus_standev,1.0,0.4,1670,4
99,0.231,7,13,TS22.csv,kmeans,0.188,0.3,1657,3
100,0.571,6,0,TS22.csv,moving_avg,1.0,0.4,1670,4
101,0.636,3,5,TS22.csv,moving_avg_rolling_std,0.583,0.7,1665,7
102,0.37,5,12,TS22.csv,isolation_forest,0.294,0.5,1658,5
103,0.667,1,8,TS22.csv,one_class_svm,0.529,0.9,1662,9
104,0.615,2,8,TS22.csv,max_voting,0.5,0.8,1662,8
111,0.615,4,6,TS23.csv,max_voting,0.571,0.667,1662,8
105,0.286,10,0,TS23.csv,mean_plus_standev,1.0,0.167,1668,2
106,0.429,6,10,TS23.csv,kmeans,0.375,0.5,1658,6
107,0.0,12,0,TS23.csv,moving_avg,0.0,0.0,1668,0
108,0.467,5,11,TS23.csv,moving_avg_rolling_std,0.389,0.583,1657,7
109,0.621,3,8,TS23.csv,isolation_forest,0.529,0.75,1660,9
110,0.552,4,9,TS23.csv,one_class_svm,0.471,0.667,1659,8
15,0.9988023952095809,4,0,TS23.csv,twitter_anomaly_detector,1.0,0.997607655502392,1668,8
16,1.0,0,0,TS24.csv,twitter_anomaly_detector,1.0,1.0,1670,10
113,0.538,3,9,TS24.csv,kmeans,0.438,0.7,1661,7
114,0.462,7,0,TS24.csv,moving_avg,1.0,0.3,1670,3
115,0.286,6,14,TS24.csv,moving_avg_rolling_std,0.222,0.4,1656,4
116,0.444,4,11,TS24.csv,isolation_forest,0.353,0.6,1659,6
117,0.667,1,8,TS24.csv,one_class_svm,0.529,0.9,1662,9
118,0.615,2,8,TS24.csv,max_voting,0.5,0.8,1662,8
112,0.824,3,0,TS24.csv,mean_plus_standev,1.0,0.7,1670,7
124,0.788,3,4,TS25.csv,one_class_svm,0.765,0.812,1660,13
119,0.316,13,0,TS25.csv,mean_plus_standev,1.0,0.188,1664,3
120,0.062,15,15,TS25.csv,kmeans,0.062,0.062,1649,1
121,0.0,16,0,TS25.csv,moving_avg,0.0,0.0,1664,0
122,0.316,13,0,TS25.csv,moving_avg_rolling_std,1.0,0.188,1664,3
123,0.303,11,12,TS25.csv,isolation_forest,0.294,0.312,1652,5
125,0.414,10,7,TS25.csv,max_voting,0.462,0.375,1657,6
17,0.9961089494163421,13,0,TS25.csv,twitter_anomaly_detector,1.0,0.9922480620155041,1664,3
126,0.476,11,0,TS26.csv,mean_plus_standev,1.0,0.312,1664,5
127,0.375,10,10,TS26.csv,kmeans,0.375,0.375,1654,6
128,0.118,15,0,TS26.csv,moving_avg,1.0,0.062,1664,1
18,0.996705600479185,11,0,TS26.csv,twitter_anomaly_detector,1.0,0.993432835820895,1664,5
129,0.583,9,1,TS26.csv,moving_avg_rolling_std,0.875,0.438,1663,7
132,0.615,8,2,TS26.csv,max_voting,0.8,0.5,1662,8
130,0.485,8,9,TS26.csv,isolation_forest,0.471,0.5,1655,8
131,0.667,5,6,TS26.csv,one_class_svm,0.647,0.688,1658,11
19,0.9991052788547571,3,0,TS27.csv,twitter_anomaly_detector,1.0,0.9982121573301551,1675,2
133,0.571,3,0,TS27.csv,mean_plus_standev,1.0,0.4,1675,2
139,0.444,1,9,TS27.csv,max_voting,0.308,0.8,1666,4
138,0.364,1,13,TS27.csv,one_class_svm,0.235,0.8,1662,4
137,0.182,3,15,TS27.csv,isolation_forest,0.118,0.4,1660,2
136,0.4,1,11,TS27.csv,moving_avg_rolling_std,0.267,0.8,1664,4
135,0.0,5,0,TS27.csv,moving_avg,0.0,0.0,1675,0
134,0.19,3,14,TS27.csv,kmeans,0.125,0.4,1661,2
145,0.3,0,14,TS28.csv,one_class_svm,0.176,1.0,1663,3
144,0.3,0,14,TS28.csv,isolation_forest,0.176,1.0,1663,3
143,0.4,2,1,TS28.csv,moving_avg_rolling_std,0.5,0.333,1676,1
20,0.9994040524433849,2,0,TS28.csv,twitter_anomaly_detector,1.0,0.998808814770697,1677,1
142,0.0,3,0,TS28.csv,moving_avg,0.0,0.0,1677,0
141,0.316,0,13,TS28.csv,kmeans,0.188,1.0,1664,3
140,0.5,2,0,TS28.csv,mean_plus_standev,1.0,0.333,1677,1
146,0.5,0,6,TS28.csv,max_voting,0.333,1.0,1671,3
21,1.0,0,0,TS29.csv,twitter_anomaly_detector,1.0,1.0,1665,15
152,0.875,1,3,TS29.csv,one_class_svm,0.824,0.933,1662,14
147,0.636,8,0,TS29.csv,mean_plus_standev,1.0,0.467,1665,7
148,0.387,9,10,TS29.csv,kmeans,0.375,0.4,1655,6
149,0.5,10,0,TS29.csv,moving_avg,1.0,0.333,1665,5
150,0.595,4,11,TS29.csv,moving_avg_rolling_std,0.5,0.733,1654,11
151,0.75,3,5,TS29.csv,isolation_forest,0.706,0.8,1660,12
153,0.848,1,4,TS29.csv,max_voting,0.778,0.933,1661,14
154,0.571,6,0,TS3.csv,mean_plus_standev,1.0,0.4,1670,4
22,1.0,0,0,TS3.csv,twitter_anomaly_detector,1.0,1.0,1670,10
159,0.519,3,10,TS3.csv,one_class_svm,0.412,0.7,1660,7
158,0.444,4,11,TS3.csv,isolation_forest,0.353,0.6,1659,6
160,0.824,3,0,TS3.csv,max_voting,1.0,0.7,1670,7
156,0.0,10,0,TS3.csv,moving_avg,0.0,0.0,1670,0
155,0.077,9,15,TS3.csv,kmeans,0.062,0.1,1655,1
157,0.571,6,0,TS3.csv,moving_avg_rolling_std,1.0,0.4,1670,4
161,0.0,13,0,TS30.csv,mean_plus_standev,0.0,0.0,1667,0
162,0.069,12,15,TS30.csv,kmeans,0.062,0.077,1652,1
163,0.0,13,0,TS30.csv,moving_avg,0.0,0.0,1667,0
164,0.5,7,5,TS30.csv,moving_avg_rolling_std,0.545,0.462,1662,6
165,0.6,4,8,TS30.csv,isolation_forest,0.529,0.692,1659,9
166,0.6,4,8,TS30.csv,one_class_svm,0.529,0.692,1659,9
167,0.667,4,5,TS30.csv,max_voting,0.643,0.692,1662,9
23,0.9970095693779899,10,0,TS30.csv,twitter_anomaly_detector,1.0,0.994036970781157,1667,3
24,0.998499849984998,5,0,TS31.csv,twitter_anomaly_detector,1.0,0.99700419412822,1664,11
168,0.4,12,0,TS31.csv,mean_plus_standev,1.0,0.25,1664,4
169,0.375,10,10,TS31.csv,kmeans,0.375,0.375,1654,6
170,0.118,15,0,TS31.csv,moving_avg,1.0,0.062,1664,1
174,0.848,2,3,TS31.csv,max_voting,0.824,0.875,1661,14
173,0.848,2,3,TS31.csv,one_class_svm,0.824,0.875,1661,14
171,0.4,6,24,TS31.csv,moving_avg_rolling_std,0.294,0.625,1640,10
172,0.727,4,5,TS31.csv,isolation_forest,0.706,0.75,1659,12
176,0.261,4,13,TS32.csv,kmeans,0.188,0.429,1660,3
177,0.0,7,0,TS32.csv,moving_avg,0.0,0.0,1673,0
178,0.364,5,2,TS32.csv,moving_avg_rolling_std,0.5,0.286,1671,2
180,0.417,2,12,TS32.csv,one_class_svm,0.294,0.714,1661,5
181,0.381,3,10,TS32.csv,max_voting,0.286,0.571,1663,4
175,0.444,5,0,TS32.csv,mean_plus_standev,1.0,0.286,1673,2
179,0.333,3,13,TS32.csv,isolation_forest,0.235,0.571,1660,4
25,0.9997012249775921,1,0,TS32.csv,twitter_anomaly_detector,1.0,0.999402628434886,1673,6
182,0.375,10,0,TS33.csv,mean_plus_standev,1.0,0.231,1667,3
185,0.88,2,1,TS33.csv,moving_avg_rolling_std,0.917,0.846,1666,11
186,0.467,6,10,TS33.csv,isolation_forest,0.412,0.538,1657,7
187,0.6,4,8,TS33.csv,one_class_svm,0.529,0.692,1659,9
188,0.667,5,3,TS33.csv,max_voting,0.727,0.615,1664,8
26,0.999100988912197,3,0,TS33.csv,twitter_anomaly_detector,1.0,0.998203592814371,1667,10
184,0.267,11,0,TS33.csv,moving_avg,1.0,0.154,1667,2
183,0.138,11,14,TS33.csv,kmeans,0.125,0.154,1653,2
27,1.0,0,0,TS34.csv,twitter_anomaly_detector,1.0,1.0,1674,6
193,0.348,2,13,TS34.csv,isolation_forest,0.235,0.667,1661,4
195,0.8,0,3,TS34.csv,max_voting,0.667,1.0,1671,6
189,0.8,2,0,TS34.csv,mean_plus_standev,1.0,0.667,1674,4
190,0.364,2,12,TS34.csv,kmeans,0.25,0.667,1662,4
191,0.667,3,0,TS34.csv,moving_avg,1.0,0.5,1674,3
194,0.522,0,11,TS34.csv,one_class_svm,0.353,1.0,1663,6
192,1.0,0,0,TS34.csv,moving_avg_rolling_std,1.0,1.0,1674,6
28,1.0,0,0,TS35.csv,twitter_anomaly_detector,1.0,1.0,1664,16
196,0.545,10,0,TS35.csv,mean_plus_standev,1.0,0.375,1664,6
197,0.438,9,9,TS35.csv,kmeans,0.438,0.438,1655,7
198,0.316,13,0,TS35.csv,moving_avg,1.0,0.188,1664,3
199,0.778,2,6,TS35.csv,moving_avg_rolling_std,0.7,0.875,1658,14
200,0.788,3,4,TS35.csv,isolation_forest,0.765,0.812,1660,13
201,0.848,2,3,TS35.csv,one_class_svm,0.824,0.875,1661,14
202,0.812,3,3,TS35.csv,max_voting,0.812,0.812,1661,13
29,1.0,0,0,TS36.csv,twitter_anomaly_detector,1.0,1.0,1679,1
203,1.0,0,0,TS36.csv,mean_plus_standev,1.0,1.0,1679,1
204,0.118,0,15,TS36.csv,kmeans,0.062,1.0,1664,1
205,1.0,0,0,TS36.csv,moving_avg,1.0,1.0,1679,1
206,0.4,0,3,TS36.csv,moving_avg_rolling_std,0.25,1.0,1676,1
207,0.105,0,17,TS36.csv,isolation_forest,0.056,1.0,1662,1
208,0.111,0,16,TS36.csv,one_class_svm,0.059,1.0,1663,1
209,0.333,0,4,TS36.csv,max_voting,0.2,1.0,1675,1
210,0.364,7,0,TS37.csv,mean_plus_standev,1.0,0.222,1671,2
211,0.24,6,13,TS37.csv,kmeans,0.188,0.333,1658,3
212,0.364,7,0,TS37.csv,moving_avg,1.0,0.222,1671,2
213,0.889,1,1,TS37.csv,moving_avg_rolling_std,0.889,0.889,1670,8
214,0.308,5,13,TS37.csv,isolation_forest,0.235,0.444,1658,4
215,0.615,1,9,TS37.csv,one_class_svm,0.471,0.889,1662,8
216,0.64,1,8,TS37.csv,max_voting,0.5,0.889,1663,8
30,1.0,0,0,TS37.csv,twitter_anomaly_detector,1.0,1.0,1671,9
217,0.429,8,0,TS38.csv,mean_plus_standev,1.0,0.273,1669,3
218,0.148,9,14,TS38.csv,kmeans,0.125,0.182,1655,2
219,0.0,11,0,TS38.csv,moving_avg,0.0,0.0,1669,0
220,0.552,3,10,TS38.csv,moving_avg_rolling_std,0.444,0.727,1659,8
221,0.571,3,9,TS38.csv,isolation_forest,0.471,0.727,1660,8
222,0.714,1,7,TS38.csv,one_class_svm,0.588,0.909,1662,10
223,0.692,2,6,TS38.csv,max_voting,0.6,0.818,1663,9
31,0.999401197604791,2,0,TS38.csv,twitter_anomaly_detector,1.0,0.9988031119090359,1669,9
230,0.923,0,1,TS39.csv,max_voting,0.857,1.0,1673,6
229,0.522,0,11,TS39.csv,one_class_svm,0.353,1.0,1663,6
228,0.522,0,11,TS39.csv,isolation_forest,0.353,1.0,1663,6
227,0.909,1,0,TS39.csv,moving_avg_rolling_std,1.0,0.833,1674,5
226,0.667,3,0,TS39.csv,moving_avg,1.0,0.5,1674,3
225,0.273,3,13,TS39.csv,kmeans,0.188,0.5,1661,3
224,0.5,4,0,TS39.csv,mean_plus_standev,1.0,0.333,1674,2
32,1.0,0,0,TS39.csv,twitter_anomaly_detector,1.0,1.0,1674,6
33,1.0,0,0,TS4.csv,twitter_anomaly_detector,1.0,1.0,1673,7
237,0.857,1,1,TS4.csv,max_voting,0.857,0.857,1672,6
231,0.6,4,0,TS4.csv,mean_plus_standev,1.0,0.429,1673,3
232,0.522,1,10,TS4.csv,kmeans,0.375,0.857,1663,6
233,0.444,5,0,TS4.csv,moving_avg,1.0,0.286,1673,2
234,0.6,4,0,TS4.csv,moving_avg_rolling_std,1.0,0.429,1673,3
235,0.333,3,13,TS4.csv,isolation_forest,0.235,0.571,1660,4
236,0.583,0,10,TS4.csv,one_class_svm,0.412,1.0,1663,7
239,0.276,9,12,TS40.csv,kmeans,0.25,0.308,1655,4
34,0.999700149925038,1,0,TS40.csv,twitter_anomaly_detector,1.0,0.9994004796163071,1667,12
238,0.556,8,0,TS40.csv,mean_plus_standev,1.0,0.385,1667,5
240,0.556,8,0,TS40.csv,moving_avg,1.0,0.385,1667,5
241,0.696,5,2,TS40.csv,moving_avg_rolling_std,0.8,0.615,1665,8
242,0.533,5,9,TS40.csv,isolation_forest,0.471,0.615,1658,8
243,0.667,3,7,TS40.csv,one_class_svm,0.588,0.769,1660,10
244,0.75,4,2,TS40.csv,max_voting,0.818,0.692,1665,9
246,0.071,11,15,TS41.csv,kmeans,0.062,0.083,1653,1
249,0.138,10,15,TS41.csv,isolation_forest,0.118,0.167,1653,2
247,0.4,9,0,TS41.csv,moving_avg,1.0,0.25,1668,3
245,0.588,7,0,TS41.csv,mean_plus_standev,1.0,0.417,1668,5
248,0.522,6,5,TS41.csv,moving_avg_rolling_std,0.545,0.5,1663,6
250,0.621,3,8,TS41.csv,one_class_svm,0.529,0.75,1660,9
251,0.636,5,3,TS41.csv,max_voting,0.7,0.583,1665,7
35,1.0,0,0,TS41.csv,twitter_anomaly_detector,1.0,1.0,1668,12
252,0.462,7,0,TS42.csv,mean_plus_standev,1.0,0.3,1670,3
253,0.154,8,14,TS42.csv,kmeans,0.125,0.2,1656,2
254,0.182,9,0,TS42.csv,moving_avg,1.0,0.1,1670,1
255,0.625,5,1,TS42.csv,moving_avg_rolling_std,0.833,0.5,1669,5
256,0.519,3,10,TS42.csv,isolation_forest,0.412,0.7,1660,7
257,0.519,3,10,TS42.csv,one_class_svm,0.412,0.7,1660,7
258,0.7,3,3,TS42.csv,max_voting,0.7,0.7,1667,7
36,1.0,0,0,TS42.csv,twitter_anomaly_detector,1.0,1.0,1670,10
37,1.0,0,0,TS43.csv,twitter_anomaly_detector,1.0,1.0,1672,8
264,0.64,0,9,TS43.csv,one_class_svm,0.471,1.0,1663,8
260,0.333,4,12,TS43.csv,kmeans,0.25,0.5,1660,4
262,0.769,3,0,TS43.csv,moving_avg_rolling_std,1.0,0.625,1672,5
261,0.667,4,0,TS43.csv,moving_avg,1.0,0.5,1672,4
265,0.875,1,1,TS43.csv,max_voting,0.875,0.875,1671,7
259,0.769,3,0,TS43.csv,mean_plus_standev,1.0,0.625,1672,5
263,0.56,1,10,TS43.csv,isolation_forest,0.412,0.875,1662,7
38,1.0,0,0,TS44.csv,twitter_anomaly_detector,1.0,1.0,1679,1
267,0.0,1,16,TS44.csv,kmeans,0.0,0.0,1663,0
271,0.111,0,16,TS44.csv,one_class_svm,0.059,1.0,1663,1
266,0.0,1,0,TS44.csv,mean_plus_standev,0.0,0.0,1679,0
268,0.0,1,0,TS44.csv,moving_avg,0.0,0.0,1679,0
269,1.0,0,0,TS44.csv,moving_avg_rolling_std,1.0,1.0,1679,1
270,0.111,0,16,TS44.csv,isolation_forest,0.059,1.0,1663,1
272,1.0,0,0,TS44.csv,max_voting,1.0,1.0,1679,1
277,0.545,7,8,TS45.csv,isolation_forest,0.529,0.562,1656,9
276,0.562,7,7,TS45.csv,moving_avg_rolling_std,0.562,0.562,1657,9
275,0.476,11,0,TS45.csv,moving_avg,1.0,0.312,1664,5
273,0.667,8,0,TS45.csv,mean_plus_standev,1.0,0.5,1664,8
274,0.625,6,6,TS45.csv,kmeans,0.625,0.625,1658,10
39,1.0,0,0,TS45.csv,twitter_anomaly_detector,1.0,1.0,1664,16
278,0.909,1,2,TS45.csv,one_class_svm,0.882,0.938,1662,15
279,0.897,3,0,TS45.csv,max_voting,1.0,0.812,1664,13
285,0.788,3,4,TS46.csv,one_class_svm,0.765,0.812,1660,13
284,0.485,8,9,TS46.csv,isolation_forest,0.471,0.5,1655,8
283,0.706,4,6,TS46.csv,moving_avg_rolling_std,0.667,0.75,1658,12
282,0.545,10,0,TS46.csv,moving_avg,1.0,0.375,1664,6
280,0.609,9,0,TS46.csv,mean_plus_standev,1.0,0.438,1664,7
40,1.0,0,0,TS46.csv,twitter_anomaly_detector,1.0,1.0,1664,16
286,0.867,3,1,TS46.csv,max_voting,0.929,0.812,1663,13
281,0.438,9,9,TS46.csv,kmeans,0.438,0.438,1655,7
41,1.0,0,0,TS47.csv,twitter_anomaly_detector,1.0,1.0,1673,7
293,0.6,1,7,TS47.csv,max_voting,0.462,0.857,1666,6
287,0.6,4,0,TS47.csv,mean_plus_standev,1.0,0.429,1673,3
288,0.261,4,13,TS47.csv,kmeans,0.188,0.429,1660,3
289,0.444,5,0,TS47.csv,moving_avg,1.0,0.286,1673,2
290,0.348,3,12,TS47.csv,moving_avg_rolling_std,0.25,0.571,1661,4
291,0.333,3,13,TS47.csv,isolation_forest,0.235,0.571,1660,4
292,0.5,1,11,TS47.csv,one_class_svm,0.353,0.857,1662,6
42,0.998807394156231,4,0,TS48.csv,twitter_anomaly_detector,1.0,0.9976176295413941,1675,1
295,0.286,2,13,TS48.csv,kmeans,0.188,0.6,1662,3
296,0.0,5,0,TS48.csv,moving_avg,0.0,0.0,1675,0
297,0.286,4,1,TS48.csv,moving_avg_rolling_std,0.5,0.2,1674,1
298,0.273,2,14,TS48.csv,isolation_forest,0.176,0.6,1661,3
294,0.571,3,0,TS48.csv,mean_plus_standev,1.0,0.4,1675,2
300,0.5,2,4,TS48.csv,max_voting,0.429,0.6,1671,3
299,0.455,0,12,TS48.csv,one_class_svm,0.294,1.0,1663,5
305,0.462,3,11,TS49.csv,isolation_forest,0.353,0.667,1660,6
302,0.16,7,14,TS49.csv,kmeans,0.125,0.222,1657,2
303,0.615,5,0,TS49.csv,moving_avg,1.0,0.444,1671,4
304,0.706,3,2,TS49.csv,moving_avg_rolling_std,0.75,0.667,1669,6
43,1.0,0,0,TS49.csv,twitter_anomaly_detector,1.0,1.0,1671,9
301,0.714,4,0,TS49.csv,mean_plus_standev,1.0,0.556,1671,5
306,0.538,2,10,TS49.csv,one_class_svm,0.412,0.778,1661,7
307,0.545,3,7,TS49.csv,max_voting,0.462,0.667,1664,6
309,0.08,8,15,TS5.csv,kmeans,0.062,0.111,1656,1
310,0.0,9,0,TS5.csv,moving_avg,0.0,0.0,1671,0
311,0.8,3,0,TS5.csv,moving_avg_rolling_std,1.0,0.667,1671,6
312,0.462,3,11,TS5.csv,isolation_forest,0.353,0.667,1660,6
314,0.889,1,1,TS5.csv,max_voting,0.889,0.889,1670,8
308,0.0,9,0,TS5.csv,mean_plus_standev,0.0,0.0,1671,0
313,0.615,1,9,TS5.csv,one_class_svm,0.471,0.889,1662,8
44,0.997611940298508,8,0,TS5.csv,twitter_anomaly_detector,1.0,0.995235259082787,1671,1
45,0.9964093357271101,12,0,TS50.csv,twitter_anomaly_detector,1.0,0.992844364937388,1665,3
315,0.235,13,0,TS50.csv,mean_plus_standev,1.0,0.133,1665,2
316,0.194,12,13,TS50.csv,kmeans,0.188,0.2,1652,3
